Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
172.29.80.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/28/2022	Server Authentication, Client Authentication	<None>	    	
172.29.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/24/2023	Server Authentication, Client Authentication	<None>	    	
172.30.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.30.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/7/2023	Server Authentication, Client Authentication	<None>	    	
172.30.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/4/2022	Server Authentication, Client Authentication	<None>	    	
172.30.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/4/2023	Server Authentication, Client Authentication	<None>	    	
172.30.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/29/2022	Server Authentication, Client Authentication	<None>	    	
172.30.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/31/2022	Server Authentication, Client Authentication	<None>	    	
172.30.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/30/2023	Server Authentication, Client Authentication	<None>	    	
172.30.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.30.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.30.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.30.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/30/2023	Server Authentication, Client Authentication	<None>	    	
172.31.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/6/2023	Server Authentication, Client Authentication	<None>	    	
172.31.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/6/2023	Server Authentication, Client Authentication	<None>	    	
172.31.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/25/2023	Server Authentication, Client Authentication	<None>	    	
172.31.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/27/2022	Server Authentication, Client Authentication	<None>	    	
172.31.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.31.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.31.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
192.168.0.13	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/17/2022	Server Authentication, Client Authentication	<None>	    	
192.168.0.14	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/19/2022	Server Authentication, Client Authentication	<None>	    	
192.168.0.23	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/8/2022	Server Authentication, Client Authentication	<None>	    	
192.168.0.8	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/9/2022	Server Authentication, Client Authentication	<None>	    	
192.168.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
192.168.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/26/2023	Server Authentication, Client Authentication	<None>	    	
192.168.137.1	Microsoft Windows Web Management (Test) (DESKTOP-1J06VR1)	7/19/2022	Server Authentication, Client Authentication	<None>	    	
192.168.138.1	Microsoft Windows Web Management (Test) (KayEtherMine)	10/6/2022	Server Authentication, Client Authentication	<None>	    	
192.168.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/6/2022	Server Authentication, Client Authentication	<None>	    	
192.168.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/23/2022	Server Authentication, Client Authentication	<None>	    	
192.168.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
192.168.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/3/2022	Server Authentication, Client Authentication	<None>	    	
192.168.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/6/2022	Server Authentication, Client Authentication	<None>	    	
192.168.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/7/2023	Server Authentication, Client Authentication	<None>	    	
192.168.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/31/2022	Server Authentication, Client Authentication	<None>	    	
192.168.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/29/2023	Server Authentication, Client Authentication	<None>	    	
192.168.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/18/2022	Server Authentication, Client Authentication	<None>	    	
192.168.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
192.168.80.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/17/2023	Server Authentication, Client Authentication	<None>	    	
192.168.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
2001:0:2841:f634:1072:11c6:519a:d2e9	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
